pf,0F,po,so,o,proc,st,m,rl,x,mnemonic,op1,op2,op3,op4,iext,tested f,modif f,def f,undef f,f values,"description, notes                                        "
66,0F,10,,r,P4+,,,,,MOVUPD,xmm,xmm/m128,,,sse2,,,,,,Move Unaligned Packed Double-FP Value
F2,0F,10,,r,P4+,,,,,MOVSD,xmm,xmm/m64,,,sse2,,,,,,Move Scalar Double-FP Value
,0F,11,,r,P3+,,,,,MOVUPS,xmm/m128,xmm,,,sse1,,,,,,Move Unaligned Packed Single-FP Values
F3,0F,11,,r,P3+,,,,,MOVSS,xmm/m32,xmm,,,sse1,,,,,,Move Scalar Single-FP Values
66,0F,11,,r,P4+,,,,,MOVUPD,xmm/m128,xmm,,,sse2,,,,,,Move Unaligned Packed Double-FP Values
F2,0F,11,,r,P4+,,,,,MOVSD,xmm/m64,xmm,,,sse2,,,,,,Move Scalar Double-FP Value
,0F,12,,r,P3+,,,,,MOVHLPS,xmm,xmm,,,sse1,,,,,,Move Packed Single-FP Values High to Low
,0F,12,,r,P3+,,,,,MOVLPS,xmm,m64,,,sse1,,,,,,Move Low Packed Single-FP Values
66,0F,12,,r,P4+,,,,,MOVLPD,xmm,m64,,,sse2,,,,,,Move Low Packed Double-FP Value
F2,0F,12,,r,P4++,,,,,MOVDDUP,xmm,xmm/m64,,,sse3,,,,,,Move One Double-FP and Duplicate
F3,0F,12,,r,P4++,,,,,MOVSLDUP,xmm,xmm/m64,,,sse3,,,,,,Move Packed Single-FP Low and Duplicate
,0F,13,,r,P3+,,,,,MOVLPS,m64,xmm,,,sse1,,,,,,Move Low Packed Single-FP Values
66,0F,13,,r,P4+,,,,,MOVLPD,m64,xmm,,,sse2,,,,,,Move Low Packed Double-FP Value
,0F,14,,r,P3+,,,,,UNPCKLPS,xmm,xmm/m64,,,sse1,,,,,,Unpack and Interleave Low Packed Single-FP Values
66,0F,14,,r,P4+,,,,,UNPCKLPD,xmm,xmm/m128,,,sse2,,,,,,Unpack and Interleave Low Packed Double-FP Values
,0F,15,,r,P3+,,,,,UNPCKHPS,xmm,xmm/m64,,,sse1,,,,,,Unpack and Interleave High Packed Single-FP Values
66,0F,15,,r,P4+,,,,,UNPCKHPD,xmm,xmm/m128,,,sse2,,,,,,Unpack and Interleave High Packed Double-FP Values
,0F,16,,r,P3+,,,,,MOVLHPS,xmm,xmm,,,sse1,,,,,,Move Packed Single-FP Values Low to High
,0F,16,,r,P3+,,,,,MOVHPS,xmm,m64,,,sse1,,,,,,Move High Packed Single-FP Values
66,0F,16,,r,P4+,,,,,MOVHPD,xmm,m64,,,sse2,,,,,,Move High Packed Double-FP Value
F3,0F,16,,r,P4++,,,,,MOVSHDUP,xmm,xmm/m64,,,sse3,,,,,,Move Packed Single-FP High and Duplicate
,0F,17,,r,P3+,,,,,MOVHPS,m64,xmm,,,sse1,,,,,,Move High Packed Single-FP Values
66,0F,17,,r,P4+,,,,,MOVHPD,m64,xmm,,,sse2,,,,,,Move High Packed Double-FP Value
,0F,18,,0,P3+,,,,,PREFETCHNTA,m8,,,,sse1,,,,,,Prefetch Data Into Caches
,0F,18,,1,P3+,,,,,PREFETCHT0,m8,,,,sse1,,,,,,Prefetch Data Into Caches
,0F,18,,2,P3+,,,,,PREFETCHT1,m8,,,,sse1,,,,,,Prefetch Data Into Caches
,0F,18,,3,P3+,,,,,PREFETCHT2,m8,,,,sse1,,,,,,Prefetch Data Into Caches
,0F,18,,4,PP+,M15,,,,HINT_NOP,r/m16/32,,,,,,,,,,Hintable NOP
,0F,18,,5,PP+,M15,,,,HINT_NOP,r/m16/32,,,,,,,,,,Hintable NOP
,0F,18,,6,PP+,M15,,,,HINT_NOP,r/m16/32,,,,,,,,,,Hintable NOP
,0F,18,,7,PP+,M15,,,,HINT_NOP,r/m16/32,,,,,,,,,,Hintable NOP
,0F,19,,,PP+,M15,,,,HINT_NOP,r/m16/32,,,,,,,,,,Hintable NOP
,0F,1A,,,PP+,M15,,,,HINT_NOP,r/m16/32,,,,,,,,,,Hintable NOP
,0F,1B,,,PP+,M15,,,,HINT_NOP,r/m16/32,,,,,,,,,,Hintable NOP
,0F,1C,,,PP+,M15,,,,HINT_NOP,r/m16/32,,,,,,,,,,Hintable NOP
,0F,1D,,,PP+,M15,,,,HINT_NOP,r/m16/32,,,,,,,,,,Hintable NOP
,0F,1E,,,PP+,M15,,,,HINT_NOP,r/m16/32,,,,,,,,,,Hintable NOP
,0F,1F,,0,P4++,,,,,NOP,r/m16/32,,,,,,,,,,No Operation
,0F,1F,,1,PP+,M15,,,,HINT_NOP,r/m16/32,,,,,,,,,,Hintable NOP
,0F,1F,,2,PP+,M15,,,,HINT_NOP,r/m16/32,,,,,,,,,,Hintable NOP
,0F,1F,,3,PP+,M15,,,,HINT_NOP,r/m16/32,,,,,,,,,,Hintable NOP
,0F,1F,,4,PP+,M15,,,,HINT_NOP,r/m16/32,,,,,,,,,,Hintable NOP
,0F,1F,,5,PP+,M15,,,,HINT_NOP,r/m16/32,,,,,,,,,,Hintable NOP
,0F,1F,,6,PP+,M15,,,,HINT_NOP,r/m16/32,,,,,,,,,,Hintable NOP
,0F,1F,,7,PP+,M15,,,,HINT_NOP,r/m16/32,,,,,,,,,,Hintable NOP
,0F,20,,r,03+,,,0,,MOV,r32,CRn,,,,,o..szapc,,o..szapc,,Move to/from Control Registers
,0F,20,,r,03+,U16,,0,,MOV,r32,CRn,,,,,o..szapc,,o..szapc,,Move to/from Control Registers
,0F,21,,r,03+,,,0,,MOV,r32,DRn,,,,,o..szapc,,o..szapc,,Move to/from Debug Registers
,0F,21,,r,03+,U16,,0,,MOV,r32,DRn,,,,,o..szapc,,o..szapc,,Move to/from Debug Registers
,0F,22,,r,03+,,,0,,MOV,CRn,r32,,,,,o..szapc,,o..szapc,,Move to/from Control Registers
,0F,22,,r,03+,U16,,0,,MOV,CRn,r32,,,,,o..szapc,,o..szapc,,Move to/from Control Registers
,0F,23,,r,03+,,,0,,MOV,DRn,r32,,,,,o..szapc,,o..szapc,,Move to/from Debug Registers
,0F,23,,r,03+,U16,,0,,MOV,DRn,r64,,,,,o..szapc,,o..szapc,,Move to/from Debug Registers
,0F,28,,r,P3+,,,,,MOVAPS,xmm,xmm/m128,,,sse1,,,,,,Move Aligned Packed Single-FP Values
66,0F,28,,r,P4+,,,,,MOVAPD,xmm,xmm/m128,,,sse2,,,,,,Move Aligned Packed Double-FP Values
,0F,29,,r,P3+,,,,,MOVAPS,xmm/m128,xmm,,,sse1,,,,,,Move Aligned Packed Single-FP Values
66,0F,29,,r,P4+,,,,,MOVAPD,xmm/m128,xmm,,,sse2,,,,,,Move Aligned Packed Double-FP Values
,0F,2A,,r,P3+,,,,,CVTPI2PS,xmm,mm/m64,,,sse1,,,,,,Convert Packed DW Integers to Single-FP Values
F3,0F,2A,,r,P3+,,,,,CVTSI2SS,xmm,r/m32,,,sse1,,,,,,Convert DW Integer to Scalar Single-FP Value
66,0F,2A,,r,P4+,,,,,CVTPI2PD,xmm,mm/m64,,,sse2,,,,,,Convert Packed DW Integers to Double-FP Values
F2,0F,2A,,r,P4+,,,,,CVTSI2SD,xmm,r/m32,,,sse2,,,,,,Convert DW Integer to Scalar Double-FP Value
,0F,2B,,r,P3+,,,,,MOVNTPS,m128,xmm,,,sse1,,,,,,Store Packed Single-FP Values Using Non-Temporal Hint
66,0F,2B,,r,P4+,,,,,MOVNTPD,m128,xmm,,,sse2,,,,,,Store Packed Double-FP Values Using Non-Temporal Hint
,0F,2C,,r,P3+,,,,,CVTTPS2PI,mm,xmm/m64,,,sse1,,,,,,Convert with Trunc. Packed Single-FP Values to DW Integers
F3,0F,2C,,r,P3+,,,,,CVTTSS2SI,r32,xmm/m32,,,sse1,,,,,,Convert with Trunc. Scalar Single-FP Value to DW Integer
66,0F,2C,,r,P4+,,,,,CVTTPD2PI,mm,xmm/m128,,,sse2,,,,,,Convert with Trunc. Packed Double-FP Values to DW Integers
F2,0F,2C,,r,P4+,,,,,CVTTSD2SI,r32,xmm/m64,,,sse2,,,,,,Conv. with Trunc. Scalar Double-FP Value to Signed DW Int
,0F,2D,,r,P3+,,,,,CVTPS2PI,mm,xmm/m64,,,sse1,,,,,,Convert Packed Single-FP Values to DW Integers
F3,0F,2D,,r,P3+,,,,,CVTSS2SI,r32,xmm/m32,,,sse1,,,,,,Convert Scalar Single-FP Value to DW Integer
66,0F,2D,,r,P4+,,,,,CVTPD2PI,mm,xmm/m128,,,sse2,,,,,,Convert Packed Double-FP Values to DW Integers
F2,0F,2D,,r,P4+,,,,,CVTSD2SI,r32,xmm/m64,,,sse2,,,,,,Convert Scalar Double-FP Value to DW Integer
,0F,2E,,r,P3+,,,,,UCOMISS,xmm,xmm/m32,,,sse1,,....z.pc,....z.pc,,,Unordered Compare Scalar Single-FP Values and Set EFLAGS
66,0F,2E,,r,P4+,,,,,UCOMISD,xmm,xmm/m64,,,sse2,,....z.pc,....z.pc,,,Unordered Compare Scalar Double-FP Values and Set EFLAGS
,0F,2F,,r,P3+,,,,,COMISS,xmm,xmm/m32,,,sse1,,....z.pc,....z.pc,,,Compare Scalar Ordered Single-FP Values and Set EFLAGS
66,0F,2F,,r,P4+,,,,,COMISD,xmm,xmm/m64,,,sse2,,....z.pc,....z.pc,,,Compare Scalar Ordered Double-FP Values and Set EFLAGS
,0F,30,,,P1+,,,0,,WRMSR,MSR,ECX,EAX,EDX,,,,,,,Write to Model Specific Register
,0F,31,,,P1+,,,f2,,RDTSC,EAX,EDX,IA32_TIM…,,,,,,,,Read Time-Stamp Counter
,0F,32,,,P1+,,,0,,RDMSR,EAX,EDX,ECX,MSR,,,,,,,Read from Model Specific Register
,0F,33,,,PX+,,,f3,,RDPMC,EAX,EDX,PMC,,,,,,,,Read Performance-Monitoring Counters
,0F,34,,,P2+,,P,,,SYSENTER,SS,ESP,IA32_SYS…,...,,,..i.....,..i.....,,..i.....,Fast System Call
,0F,35,,,P2+,,P,0,,SYSEXIT,SS,eSP,IA32_SYS…,...,,,,,,,Fast Return from Fast System Call
,0F,37,,,C2++,D17,,,,GETSEC,EAX,,,,smx,,,,,,GETSEC Leaf Functions
,0F,38,0,r,C2+,,,,,PSHUFB,mm,mm/m64,,,ssse3,,,,,,Packed Shuffle Bytes
66,0F,38,0,r,C2+,,,,,PSHUFB,xmm,xmm/m128,,,ssse3,,,,,,Packed Shuffle Bytes
,0F,38,1,r,C2+,,,,,PHADDW,mm,mm/m64,,,ssse3,,,,,,Packed Horizontal Add
66,0F,38,1,r,C2+,,,,,PHADDW,xmm,xmm/m128,,,ssse3,,,,,,Packed Horizontal Add
,0F,38,2,r,C2+,,,,,PHADDD,mm,mm/m64,,,ssse3,,,,,,Packed Horizontal Add
66,0F,38,2,r,C2+,,,,,PHADDD,xmm,xmm/m128,,,ssse3,,,,,,Packed Horizontal Add
,0F,38,3,r,C2+,,,,,PHADDSW,mm,mm/m64,,,ssse3,,,,,,Packed Horizontal Add and Saturate
66,0F,38,3,r,C2+,,,,,PHADDSW,xmm,xmm/m128,,,ssse3,,,,,,Packed Horizontal Add and Saturate
,0F,38,4,r,C2+,,,,,PMADDUBSW,mm,mm/m64,,,ssse3,,,,,,Multiply and Add Packed Signed and Unsigned Bytes
66,0F,38,4,r,C2+,,,,,PMADDUBSW,xmm,xmm/m128,,,ssse3,,,,,,Multiply and Add Packed Signed and Unsigned Bytes
,0F,38,5,r,C2+,,,,,PHSUBW,mm,mm/m64,,,ssse3,,,,,,Packed Horizontal Subtract
66,0F,38,5,r,C2+,,,,,PHSUBW,xmm,xmm/m128,,,ssse3,,,,,,Packed Horizontal Subtract
,0F,38,6,r,C2+,,,,,PHSUBD,mm,mm/m64,,,ssse3,,,,,,Packed Horizontal Subtract
66,0F,38,6,r,C2+,,,,,PHSUBD,xmm,xmm/m128,,,ssse3,,,,,,Packed Horizontal Subtract
,0F,38,7,r,C2+,,,,,PHSUBSW,mm,mm/m64,,,ssse3,,,,,,Packed Horizontal Subtract and Saturate
66,0F,38,7,r,C2+,,,,,PHSUBSW,xmm,xmm/m128,,,ssse3,,,,,,Packed Horizontal Subtract and Saturate
,0F,38,8,r,C2+,,,,,PSIGNB,mm,mm/m64,,,ssse3,,,,,,Packed SIGN
66,0F,38,8,r,C2+,,,,,PSIGNB,xmm,xmm/m128,,,ssse3,,,,,,Packed SIGN
,0F,38,9,r,C2+,,,,,PSIGNW,mm,mm/m64,,,ssse3,,,,,,Packed SIGN
66,0F,38,9,r,C2+,,,,,PSIGNW,xmm,xmm/m128,,,ssse3,,,,,,Packed SIGN
,0F,38,0A,r,C2+,,,,,PSIGND,mm,mm/m64,,,ssse3,,,,,,Packed SIGN
66,0F,38,0A,r,C2+,,,,,PSIGND,xmm,xmm/m128,,,ssse3,,,,,,Packed SIGN
,0F,38,0B,r,C2+,,,,,PMULHRSW,mm,mm/m64,,,ssse3,,,,,,Packed Multiply High with Round and Scale
66,0F,38,0B,r,C2+,,,,,PMULHRSW,xmm,xmm/m128,,,ssse3,,,,,,Packed Multiply High with Round and Scale
66,0F,38,10,r,C2++,D25,,,,PBLENDVB,xmm,xmm/m128,XMM0,,sse41,,,,,,Variable Blend Packed Bytes
66,0F,38,14,r,C2++,D25,,,,BLENDVPS,xmm,xmm/m128,XMM0,,sse41,,,,,,Variable Blend Packed Single-FP Values
66,0F,38,15,r,C2++,D25,,,,BLENDVPD,xmm,xmm/m128,XMM0,,sse41,,,,,,Variable Blend Packed Double-FP Values
66,0F,38,17,r,C2++,D25,,,,PTEST,xmm,xmm/m128,,,sse41,,o..szapc,o..szapc,,o..s.ap.,Logical Compare
,0F,38,1C,r,C2+,,,,,PABSB,mm,mm/m64,,,ssse3,,,,,,Packed Absolute Value
66,0F,38,1C,r,C2+,,,,,PABSB,xmm,xmm/m128,,,ssse3,,,,,,Packed Absolute Value
,0F,38,1D,r,C2+,,,,,PABSW,mm,mm/m64,,,ssse3,,,,,,Packed Absolute Value
66,0F,38,1D,r,C2+,,,,,PABSW,xmm,xmm/m128,,,ssse3,,,,,,Packed Absolute Value
,0F,38,1E,r,C2+,,,,,PABSD,mm,mm/m64,,,ssse3,,,,,,Packed Absolute Value
66,0F,38,1E,r,C2+,,,,,PABSD,xmm,xmm/m128,,,ssse3,,,,,,Packed Absolute Value
66,0F,38,20,r,C2++,D25,,,,PMOVSXBW,xmm,m64,,,sse41,,,,,,Packed Move with Sign Extend
,,,,,,,,,,PMOVSXBW,xmm,xmm,,,,,,,,,
66,0F,38,21,r,C2++,D25,,,,PMOVSXBD,xmm,m32,,,sse41,,,,,,Packed Move with Sign Extend
,,,,,,,,,,PMOVSXBD,xmm,xmm,,,,,,,,,
66,0F,38,22,r,C2++,D25,,,,PMOVSXBQ,xmm,m16,,,sse41,,,,,,Packed Move with Sign Extend
,,,,,,,,,,PMOVSXBQ,xmm,xmm,,,,,,,,,
66,0F,38,23,r,C2++,D25,,,,PMOVSXWD,xmm,m64,,,sse41,,,,,,Packed Move with Sign Extend
,,,,,,,,,,PMOVSXWD,xmm,xmm,,,,,,,,,
66,0F,38,24,r,C2++,D25,,,,PMOVSXWQ,xmm,m32,,,sse41,,,,,,Packed Move with Sign Extend
,,,,,,,,,,PMOVSXWQ,xmm,xmm,,,,,,,,,
66,0F,38,25,r,C2++,D25,,,,PMOVSXDQ,xmm,m64,,,sse41,,,,,,Packed Move with Sign Extend
,,,,,,,,,,PMOVSXDQ,xmm,xmm,,,,,,,,,
66,0F,38,28,r,C2++,D25,,,,PMULDQ,xmm,xmm/m128,,,sse41,,,,,,Multiply Packed Signed Dword Integers
66,0F,38,29,r,C2++,D25,,,,PCMPEQQ,xmm,xmm/m128,,,sse41,,,,,,Compare Packed Qword Data for Equal
66,0F,38,2A,r,C2++,D25,,,,MOVNTDQA,xmm,m128,,,sse41,,,,,,Load Double Quadword Non-Temporal Aligned Hint
66,0F,38,2B,r,C2++,D25,,,,PACKUSDW,xmm,xmm/m128,,,sse41,,,,,,Pack with Unsigned Saturation
66,0F,38,30,r,C2++,D25,,,,PMOVZXBW,xmm,m64,,,sse41,,,,,,Packed Move with Zero Extend
,,,,,,,,,,PMOVZXBW,xmm,xmm,,,,,,,,,
66,0F,38,31,r,C2++,D25,,,,PMOVZXBD,xmm,m32,,,sse41,,,,,,Packed Move with Zero Extend
,,,,,,,,,,PMOVZXBD,xmm,xmm,,,,,,,,,
66,0F,38,32,r,C2++,D25,,,,PMOVZXBQ,xmm,m16,,,sse41,,,,,,Packed Move with Zero Extend
,,,,,,,,,,PMOVZXBQ,xmm,xmm,,,,,,,,,
66,0F,38,33,r,C2++,D25,,,,PMOVZXWD,xmm,m64,,,sse41,,,,,,Packed Move with Zero Extend
,,,,,,,,,,PMOVZXWD,xmm,xmm,,,,,,,,,
66,0F,38,34,r,C2++,D25,,,,PMOVZXWQ,xmm,m32,,,sse41,,,,,,Packed Move with Zero Extend
,,,,,,,,,,PMOVZXWQ,xmm,xmm,,,,,,,,,
66,0F,38,35,r,C2++,D25,,,,PMOVZXDQ,xmm,m64,,,sse41,,,,,,Packed Move with Zero Extend
,,,,,,,,,,PMOVZXDQ,xmm,xmm,,,,,,,,,
66,0F,38,37,r,C2++,D25,,,,PCMPGTQ,xmm,xmm/m128,,,sse42,,,,,,Compare Packed Qword Data for Greater Than
66,0F,38,38,r,C2++,D25,,,,PMINSB,xmm,xmm/m128,,,sse41,,,,,,Minimum of Packed Signed Byte Integers
66,0F,38,39,r,C2++,D25,,,,PMINSD,xmm,xmm/m128,,,sse41,,,,,,Minimum of Packed Signed Dword Integers
66,0F,38,3A,r,C2++,D25,,,,PMINUW,xmm,xmm/m128,,,sse41,,,,,,Minimum of Packed Unsigned Word Integers
66,0F,38,3B,r,C2++,D25,,,,PMINUD,xmm,xmm/m128,,,sse41,,,,,,Minimum of Packed Unsigned Dword Integers
66,0F,38,3C,r,C2++,D25,,,,PMAXSB,xmm,xmm/m128,,,sse41,,,,,,Maximum of Packed Signed Byte Integers
66,0F,38,3D,r,C2++,D25,,,,PMAXSD,xmm,xmm/m128,,,sse41,,,,,,Maximum of Packed Signed Dword Integers
66,0F,38,3E,r,C2++,D25,,,,PMAXUW,xmm,xmm/m128,,,sse41,,,,,,Maximum of Packed Unsigned Word Integers
66,0F,38,3F,r,C2++,D25,,,,PMAXUD,xmm,xmm/m128,,,sse41,,,,,,Maximum of Packed Unsigned Dword Integers
66,0F,38,40,r,C2++,D25,,,,PMULLD,xmm,xmm/m128,,,sse41,,,,,,Multiply Packed Signed Dword Integers and Store Low Result
66,0F,38,41,r,C2++,D25,,,,PHMINPOSUW,xmm,xmm/m128,,,sse41,,,,,,Packed Horizontal Word Minimum
66,0F,38,80,r,C2++,D24,P,0,,INVEPT,r32,m128,,,vmx,,o..szapc,o..szapc,,,Invalidate Translations Derived from EPT
66,0F,38,81,r,C2++,D24,P,0,,INVVPID,r32,m128,,,vmx,,o..szapc,o..szapc,,,Invalidate Translations Based on VPID
,0F,38,F0,r,C2++,,,,,MOVBE,r16/32,m16/32,,,,,,,,,Move Data After Swapping Bytes
F2,0F,38,F0,r,C2++,D25,,,,CRC32,r32,r/m8,,,sse42,,,,,,Accumulate CRC32 Value
,0F,38,F1,r,C2++,,,,,MOVBE,m16/32,r16/32,,,,,,,,,Move Data After Swapping Bytes
F2,0F,38,F1,r,C2++,D25,,,,CRC32,r32,r/m16/32,,,sse42,,,,,,Accumulate CRC32 Value
66,0F,3A,8,r,C2++,D25,,,,ROUNDPS,xmm,xmm/m128,imm8,,sse41,,,,,,Round Packed Single-FP Values
66,0F,3A,9,r,C2++,D25,,,,ROUNDPD,xmm,xmm/m128,imm8,,sse41,,,,,,Round Packed Double-FP Values
66,0F,3A,0A,r,C2++,D25,,,,ROUNDSS,xmm,xmm/m32,imm8,,sse41,,,,,,Round Scalar Single-FP Values
66,0F,3A,0B,r,C2++,D25,,,,ROUNDSD,xmm,xmm/m64,imm8,,sse41,,,,,,Round Scalar Double-FP Values
66,0F,3A,0C,r,C2++,D25,,,,BLENDPS,xmm,xmm/m128,imm8,,sse41,,,,,,Blend Packed Single-FP Values
66,0F,3A,0D,r,C2++,D25,,,,BLENDPD,xmm,xmm/m128,imm8,,sse41,,,,,,Blend Packed Double-FP Values
66,0F,3A,0E,r,C2++,D25,,,,PBLENDW,xmm,xmm/m128,imm8,,sse41,,,,,,Blend Packed Words
,0F,3A,0F,r,C2+,,,,,PALIGNR,mm,mm/m64,,,ssse3,,,,,,Packed Align Right
66,0F,3A,0F,r,C2+,,,,,PALIGNR,xmm,xmm/m128,,,ssse3,,,,,,Packed Align Right
66,0F,3A,14,r,C2++,D25,,,,PEXTRB,m8,xmm,imm8,,sse41,,,,,,Extract Byte
,,,,,,,,,,PEXTRB,r32,xmm,imm8,,,,,,,,
66,0F,3A,15,r,C2++,D25,,,,PEXTRW,m16,xmm,imm8,,sse41,,,,,,Extract Word
,,,,,,,,,,PEXTRW,r32,xmm,imm8,,,,,,,,
66,0F,3A,16,r,C2++,D25,,,,PEXTRD,r/m32,xmm,imm8,,sse41,,,,,,Extract Dword/Qword
,,,,,,,,,,PEXTRQ,r/m64,xmm,imm8,,,,,,,,
66,0F,3A,17,r,C2++,D25,,,,EXTRACTPS,r/m32,xmm,imm8,,sse41,,,,,,Extract Packed Single-FP Value
66,0F,3A,20,r,C2++,D25,,,,PINSRB,xmm,m8,imm8,,sse41,,,,,,Insert Byte
,,,,,,,,,,PINSRB,xmm,r32,imm8,,,,,,,,
66,0F,3A,21,r,C2++,D25,,,,INSERTPS,xmm,m32,imm8,,sse41,,,,,,Insert Packed Single-FP Value
,,,,,,,,,,INSERTPS,xmm,xmm,imm8,,,,,,,,
66,0F,3A,22,r,C2++,D25,,,,PINSRD,xmm,r/m32,imm8,,sse41,,,,,,Insert Dword/Qword
,,,,,,,,,,PINSRQ,xmm,r/m64,imm8,,,,,,,,
66,0F,3A,40,r,C2++,D25,,,,DPPS,xmm,xmm/m128,,,sse41,,,,,,Dot Product of Packed Single-FP Values
66,0F,3A,41,r,C2++,D25,,,,DPPD,xmm,xmm/m128,,,sse41,,,,,,Dot Product of Packed Double-FP Values
66,0F,3A,42,r,C2++,D25,,,,MPSADBW,xmm,xmm/m128,imm8,,sse41,,,,,,Compute Multiple Packed Sums of Absolute Difference
66,0F,3A,60,r,C2++,D25,,,,PCMPESTRM,XMM0,xmm,xmm/m128,...,sse42,,o..szapc,o..szapc,,.....ap.,"Packed Compare Explicit Length Strings, Return Mask"
66,0F,3A,61,r,C2++,D25,,,,PCMPESTRI,ECX,xmm,xmm/m128,...,sse42,,o..szapc,o..szapc,,.....ap.,"Packed Compare Explicit Length Strings, Return Index"
66,0F,3A,62,r,C2++,D25,,,,PCMPISTRM,XMM0,xmm,xmm/m128,imm8,sse42,,o..szapc,o..szapc,,.....ap.,"Packed Compare Implicit Length Strings, Return Mask"
66,0F,3A,63,r,C2++,D25,,,,PCMPISTRI,ECX,xmm,xmm/m128,imm8,sse42,,o..szapc,o..szapc,,.....ap.,"Packed Compare Implicit Length Strings, Return Index"
,0F,40,,r,PP+,,,,,CMOVO,r16/32,r/m16/32,,,,o.......,,,,,Conditional Move - overflow (OF=1)
,0F,41,,r,PP+,,,,,CMOVNO,r16/32,r/m16/32,,,,o.......,,,,,Conditional Move - not overflow (OF=0)
,0F,42,,r,PP+,,,,,CMOVB,r16/32,r/m16/32,,,,.......c,,,,,Conditional Move - below/not above or equal/carry (CF=1)
,,,,,,,,,,CMOVNAE,r16/32,r/m16/32,,,,,,,,,
,,,,,,,,,,CMOVC,r16/32,r/m16/32,,,,,,,,,
,0F,43,,r,PP+,,,,,CMOVNB,r16/32,r/m16/32,,,,.......c,,,,,Conditional Move - not below/above or equal/not carry (CF=0)
,,,,,,,,,,CMOVAE,r16/32,r/m16/32,,,,,,,,,
,,,,,,,,,,CMOVNC,r16/32,r/m16/32,,,,,,,,,
,0F,44,,r,PP+,,,,,CMOVZ,r16/32,r/m16/32,,,,....z...,,,,,Conditional Move - zero/equal (ZF=1)
,,,,,,,,,,CMOVE,r16/32,r/m16/32,,,,,,,,,
,0F,45,,r,PP+,,,,,CMOVNZ,r16/32,r/m16/32,,,,....z...,,,,,Conditional Move - not zero/not equal (ZF=0)
,,,,,,,,,,CMOVNE,r16/32,r/m16/32,,,,,,,,,
,0F,46,,r,PP+,,,,,CMOVBE,r16/32,r/m16/32,,,,....z..c,,,,,Conditional Move - below or equal/not above (CF=1 OR ZF=1)
,,,,,,,,,,CMOVNA,r16/32,r/m16/32,,,,,,,,,
,0F,47,,r,PP+,,,,,CMOVNBE,r16/32,r/m16/32,,,,....z..c,,,,,Conditional Move - not below or equal/above (CF=0 AND ZF=0)
,,,,,,,,,,CMOVA,r16/32,r/m16/32,,,,,,,,,
,0F,48,,r,PP+,,,,,CMOVS,r16/32,r/m16/32,,,,...s....,,,,,Conditional Move - sign (SF=1)
,0F,49,,r,PP+,,,,,CMOVNS,r16/32,r/m16/32,,,,...s....,,,,,Conditional Move - not sign (SF=0)
,0F,4A,,r,PP+,,,,,CMOVP,r16/32,r/m16/32,,,,......p.,,,,,Conditional Move - parity/parity even (PF=1)
,,,,,,,,,,CMOVPE,r16/32,r/m16/32,,,,,,,,,
,0F,4B,,r,PP+,,,,,CMOVNP,r16/32,r/m16/32,,,,......p.,,,,,Conditional Move - not parity/parity odd (PF=0)
,,,,,,,,,,CMOVPO,r16/32,r/m16/32,,,,,,,,,
,0F,4C,,r,PP+,,,,,CMOVL,r16/32,r/m16/32,,,,o..s....,,,,,Conditional Move - less/not greater (SF!=OF)
,,,,,,,,,,CMOVNGE,r16/32,r/m16/32,,,,,,,,,
,0F,4D,,r,PP+,,,,,CMOVNL,r16/32,r/m16/32,,,,o..s....,,,,,Conditional Move - not less/greater or equal (SF=OF)
,,,,,,,,,,CMOVGE,r16/32,r/m16/32,,,,,,,,,
,0F,4E,,r,PP+,,,,,CMOVLE,r16/32,r/m16/32,,,,o..sz...,,,,,Conditional Move - less or equal/not greater ((ZF=1) OR (SF!=OF))
,,,,,,,,,,CMOVNG,r16/32,r/m16/32,,,,,,,,,
,0F,4F,,r,PP+,,,,,CMOVNLE,r16/32,r/m16/32,,,,o..sz...,,,,,Conditional Move - not less nor equal/greater ((ZF=0) AND (SF=OF))
,,,,,,,,,,CMOVG,r16/32,r/m16/32,,,,,,,,,
,0F,50,,r,P3+,,,,,MOVMSKPS,r32,xmm,,,sse1,,,,,,Extract Packed Single-FP Sign Mask
66,0F,50,,r,P4+,,,,,MOVMSKPD,r32,xmm,,,sse2,,,,,,Extract Packed Double-FP Sign Mask
,0F,51,,r,P3+,,,,,SQRTPS,xmm,xmm/m128,,,sse1,,,,,,Compute Square Roots of Packed Single-FP Values
F3,0F,51,,r,P3+,,,,,SQRTSS,xmm,xmm/m32,,,sse1,,,,,,Compute Square Root of Scalar Single-FP Value
66,0F,51,,r,P4+,,,,,SQRTPD,xmm,xmm/m128,,,sse2,,,,,,Compute Square Roots of Packed Double-FP Values
F2,0F,51,,r,P4+,,,,,SQRTSD,xmm,xmm/m64,,,sse2,,,,,,Compute Square Root of Scalar Double-FP Value
,0F,52,,r,P3+,,,,,RSQRTPS,xmm,xmm/m128,,,sse1,,,,,,Compute Recipr. of Square Roots of Packed Single-FP Values
F3,0F,52,,r,P3+,,,,,RSQRTSS,xmm,xmm/m32,,,sse1,,,,,,Compute Recipr. of Square Root of Scalar Single-FP Value
,0F,53,,r,P3+,,,,,RCPPS,xmm,xmm/m128,,,sse1,,,,,,Compute Reciprocals of Packed Single-FP Values
F3,0F,53,,r,P3+,,,,,RCPSS,xmm,xmm/m32,,,sse1,,,,,,Compute Reciprocal of Scalar Single-FP Values
